,初试,初试,初试,初试,初试,初试,初试,初试,复试,复试,复试,复试,复试,复试,复试,复试,总分,总分,总分,总分,总分,总分,总分,总分
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
专业,,,,,,,,,,,,,,,,,,,,,,,,
专硕-网安,23.0,337.7,26.9,298.0,316.5,331.0,357.0,393.0,23.0,238.3,15.9,199.9,228.3,240.5,246.5,270.8,23.0,73.5,4.1,68.6,69.8,72.9,75.6,84.4
专硕-计算机技术,43.0,345.4,21.7,312.0,329.5,340.0,359.5,402.0,43.0,245.0,10.5,223.8,238.8,242.1,251.0,271.0,43.0,75.4,3.5,70.0,72.8,74.6,77.1,84.3
专硕-软工,26.0,342.0,21.9,307.0,326.8,337.5,357.0,393.0,26.0,242.3,10.6,216.8,237.8,242.8,248.9,264.6,26.0,74.6,3.2,68.3,72.2,74.4,76.9,83.4
学硕-网安,20.0,338.1,15.8,314.0,326.8,336.5,342.0,369.0,20.0,242.6,12.6,226.8,233.9,239.4,252.9,264.5,20.0,74.2,2.7,69.2,72.0,74.3,76.0,80.1
学硕-计算机科学,30.0,353.2,17.2,330.0,339.5,349.0,367.8,388.0,30.0,244.4,11.0,214.4,238.0,245.5,253.0,262.1,30.0,76.1,2.6,72.5,74.4,75.1,77.1,82.5
学硕-软工,17.0,345.9,15.9,319.0,334.0,348.0,358.0,374.0,17.0,248.5,14.2,228.0,238.7,248.7,257.4,272.8,17.0,76.0,3.3,71.3,73.8,74.9,78.0,82.9
