,初试,初试,初试,初试,初试,初试,初试,初试,复试,复试,复试,复试,复试,复试,复试,复试,总分,总分,总分,总分,总分,总分,总分,总分
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
专业,,,,,,,,,,,,,,,,,,,,,,,,
专硕-电子信息,83.0,376.3975903614458,15.450108342059266,346.0,364.0,375.0,386.0,412.0,83.0,258.1003614457831,10.797484287598406,228.09,251.265,258.67,265.235,288.66,83.0,78.5143373493976,2.5423439313545533,75.0,76.61500000000001,77.93,80.155,84.83
学硕-网安,21.0,348.0,19.086644545335883,326.0,336.0,343.0,351.0,391.0,21.0,250.53380952380954,10.822586786988806,226.56,245.23,252.38,259.4,269.25,21.0,73.77428571428571,3.076507063909609,68.72,72.0,73.21,74.31,81.11
学硕-计科,30.0,361.26666666666665,15.649024059761315,341.0,348.5,356.0,373.75,393.0,30.0,260.16833333333335,8.835140684762196,243.31,254.0125,261.75,266.195,274.92,30.0,76.59433333333331,2.6169061534743565,73.49,74.6975,75.815,78.0575,82.23
学硕-软工,17.0,350.88235294117646,15.148772033324914,327.0,343.0,352.0,358.0,382.0,17.0,251.16176470588235,8.668119919635197,236.74,247.38,250.27,255.8,271.67,17.0,74.24000000000001,2.75517240839843,69.91,72.55,74.03,75.23,80.23
