,初试,初试,初试,初试,初试,初试,初试,初试,复试,复试,复试,复试,复试,复试,复试,复试,总分,总分,总分,总分,总分,总分,总分,总分
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
专业,,,,,,,,,,,,,,,,,,,,,,,,
专硕-电子信息,74.0,377.9864864864865,13.254612268573753,356.0,367.0,376.5,388.75,412.0,74.0,250.516081081081,8.730968785795842,226.84,245.5475,251.39499999999998,255.60999999999999,271.29,74.0,79.5527027027027,1.9361586721016026,76.71,77.99249999999999,79.03,80.98,84.28
学硕-网安,16.0,360.4375,16.532669677540486,332.0,350.0,363.0,371.0,383.0,16.0,246.784375,12.287768969589226,212.34,244.24,249.59500000000003,252.195,266.77,16.0,77.175625,2.086147865484772,73.59,75.95,77.25999999999999,77.85,82.76
学硕-计科,29.0,367.7586206896552,13.135706986285765,348.0,358.0,368.0,376.0,397.0,29.0,243.71827586206894,9.386855577639833,221.98,236.94,242.9,250.26,263.97,29.0,77.39655172413795,2.295693601790207,74.3,75.9,76.79,78.77,82.0
学硕-软工,17.0,367.94117647058823,14.0333112104525,348.0,359.0,363.0,378.0,394.0,17.0,247.70999999999998,11.133746000336098,228.78,240.41,247.32,252.69,270.85,17.0,78.08000000000001,2.390653676298596,75.06,76.56,77.69,79.05,83.8
