,数学,数学,数学,数学,数学,数学,数学,数学,专业课,专业课,专业课,专业课,专业课,专业课,专业课,专业课,英语,英语,英语,英语,英语,英语,英语,英语,政治,政治,政治,政治,政治,政治,政治,政治,总分,总分,总分,总分,总分,总分,总分,总分
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
专业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电子信息,125.0,123.928,11.724097048937427,89.0,118.0,123.0,132.0,149.0,125.0,114.12,9.159518229336541,82.0,108.0,115.0,120.0,133.0,125.0,69.416,8.470236314637653,40.0,64.0,70.0,76.0,88.0,125.0,65.024,4.818418961684691,51.0,62.0,65.0,68.0,76.0,125.0,372.488,13.398131790808408,354.0,362.0,369.0,380.0,412.0
网络空间安全,21.0,108.66666666666667,15.18332418587357,82.0,98.0,108.0,116.0,141.0,21.0,113.85714285714286,9.613977919080709,98.0,108.0,112.0,118.0,133.0,21.0,68.61904761904762,8.766277376835564,46.0,65.0,68.0,74.0,86.0,21.0,64.80952380952381,3.655393927048733,58.0,62.0,66.0,68.0,70.0,21.0,355.95238095238096,17.284317141490405,330.0,338.0,358.0,370.0,383.0
计算机科学与技术,39.0,113.66666666666667,11.667167909031903,82.0,109.0,116.0,122.5,133.0,39.0,115.71794871794872,8.976427369120211,87.0,110.5,116.0,123.0,131.0,39.0,69.35897435897436,9.077117498318099,46.0,65.5,69.0,76.0,85.0,39.0,65.33333333333333,5.001754078285849,55.0,62.0,65.0,68.5,77.0,39.0,364.0769230769231,13.4661068014725,348.0,352.0,363.0,372.0,397.0
软件工程,23.0,111.1304347826087,10.63999465065692,90.0,103.5,111.0,119.0,130.0,23.0,117.1304347826087,9.33860193851349,101.0,111.0,118.0,125.0,131.0,23.0,69.21739130434783,8.712355498940626,50.0,63.0,69.0,76.0,84.0,23.0,66.08695652173913,4.860911282673622,58.0,62.0,65.0,69.0,76.0,23.0,363.5652173913044,14.41850479877893,345.0,352.5,360.0,375.0,394.0
